"sku","Título","path","descripcion","estanteria","imagesPath","cost","precio_venta_sin_IVA","old_price","edad","editorial","duracion","dificultad","oferta","nivel","publicado","jugadores","umbral","categoria","tipo"
"DiceThemeParkExtrasDeluxe ","Dice Theme Park: Extras Deluxe (PREVENTA)","/dice-theme-park-extras-deluxe","
	¡Esta caja de extras deluxe llevará tu parque temático a un nuevo nivel! 


	 


	En esta caja se incluyen miniaturas de Monorraíl e insertos para prepararlos según el número de jugadores en la partida.


	 


	La miniexpansión «Innovaciones» añade nuevas opciones de personalización para tu Parque y la miniexpansión «Factor Sorpresa» agrega nuevas y emocionantes fichas de Atracción, Habilidades y Empleados con nuevas mecánicas.


	 


	


	 


	¿Qué contiene?


	
		5 miniaturas de Monorraíl
	
		12 insertos de Monorraíl
	
		40 fichas de Innovación
	
		2 cartas de Gerente
	
		8 losetas de Atracción
	
		4 cartas de Visionario
	
		6 cartas de Habilidad

","PREVENTA","http://tablerumdrupal.com/sites/tablerumcom/files/dice-theme-park-extras-deluxe-comprar-barato.jpg","20.859","19.628","25","+14 años","Maldito Games","60-120 min","6","Si","3","Sí","1-4","3","PREventa, Accesorios, Actuales","Juegos de Mesa"
"GamegenicFourtress320+Clear","Gamegenic Fourtress 320+ Clear","/gamegenic-fourtress-320-clear","
	Mazos completos, dados, fichas o hasta 320 cartas con doble funda: todo eso puede guardar y proteger el modelo Fourtress. 


	


	Esta robusta caja está disponible en cinco colores semitransparentes para identificar fácilmente su contenido. El cierre integrado elimina por completo el riesgo de aperturas, mientras que los dos paneles interiores se pueden extraer para crear compartimentos más grandes. Las cajas son apilables, lo que las convierte en las compañeras de viaje perfectas y en una excelente solución de almacenamiento para casa.
	 
","X3","http://tablerumdrupal.com/sites/tablerumcom/files/gamegenic-fourtress-320-clear-comprar-barato.jpg","7.264","8.181","","+2 años","asmodee","10min","1","No","0","Sí","1","2","Accesorios, Actuales","Juegos de Mesa"
"TotalDominationSetMiniaturasDeluxe","Total Domination: Set de Miniaturas DeLuxe","/total-domination-miniaturas-deluxe","
	Set de Miniaturas Deluxe para el juego Total Domination.


	


	¿Qué contiene?


	
		76 miniaturas de plástico, que incluyen:
	
		20 miniaturas de Tanque
	
		20 miniaturas de Flota
	
		10 miniaturas de Flota Aérea
	
		6 miniaturas para la expansión ""Resistencia""

","E1","http://tablerumdrupal.com/sites/tablerumcom/files/total-domination-miniaturas-deluxe-comprar-barato.jpg","25.552","27.479","35","+14 años","Maldito Games","60min","6","Si","5","Sí","1-4","6","Accesorios, Actuales","Juegos de Mesa"
"FinalGirlVehiclesMiniaturesS1","Final Girl: Vehicle Miniatures Box Series 1","/final-girl-vehicle-serie-1-miniatures","
	Incluye minifiguras de vehículos para las películas de la S1 (PRODUCTO EN INGLÉS)
	 
","Por asignar","http://tablerumdrupal.com/sites/tablerumcom/files/final-girl-vehicle-serie-1-miniatures-comprar-barato.jpg","7.672","8.888","11.95","+14 años","BlackFire","50min","6","Si","4","Sí","1","6","Accesorios, Actuales","Juegos de Mesa"
"FinalGirlTerrorFromAvobeBirdsInglés","Final Girl: Terror From Above (Birds) (Inglés)","/final-girl-terror-from-avobe-birds-ingles","
	Miniaturas de pájaros para la aventura Terror From Above (PRODUCTO EN INGLÉS)
","Por Asignar","http://tablerumdrupal.com/sites/tablerumcom/files/final-girl-birds-miniatures-comprar-barato.jpg","15.285","17.809","23.95","+14 años","BlackFire","50min","6","Si","5","Sí","1","12","Accesorios, Actuales","Juegos de Mesa"
