"sku","Título","path","descripcion","estanteria","imagesPath","cost","precio_venta_sin_IVA","old_price","edad","editorial","duracion","dificultad","oferta","nivel","publicado","jugadores","umbral","categoria","tipo"
"xtremeartarkhamhorrorcorazones","XTrem-Art Arkham Horror Corazones pintados a mano","/XTreme-Art-Arkham-Horror-Corazones","
	Indicadores de vida/resistencia válido para los juegos Arkham Horror LCG y Eldritch Horror.


	Número de corazones:


	     - 10 corazones de puntuación 3, grandes


	     - 24 corazones de puntuación 1, pequeños.


	Al ser las piezas pintadas a mano, pueden diferir los colores de la foto original. 


	Hechas con impresora 3D, calidad 0,1mm capa.
	Mejora tu experiencia de juego con los tokens de Xtrem Art!


	 
","MOSTRADOR","http://tablerumdrupal.com/sites/tablerumcom/files/xtrem-art2.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/arkham-horror-corazones-10.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/arkham-horror-corazones-1.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/arkham-horror-corazones-4.jpg","5","4.96","","+6 años"," Xtrem Art","10min","1","Si","0","Sí","1","1","Arkham Horror LCG Series, Xtreme Art","Juegos de Mesa"
"arhkhamhorrorcerebros","XTrem-Art Eldritch Horror Arkham Indicadores de cordura, cerebros","/XTreme-Art%20Arkham%20Horror%20Cerebros","
	Indicadores de cordura para Arkham Horror 2 Edición y para Eldritch Horror.. Pintados a mano.


	Cantidad:


	-  24 de puntuación 1


	-  10 de puntuación 3


	Al ser las piezas pintadas a mano, pueden diferir los colores de la foto original. 
	Hechas con impresora 3D, calidad 0,1mm capa.
	Mejora tu experiencia de juego con los tokens de Xtrem Art!
","MOSTRADOR","http://tablerumdrupal.com/sites/tablerumcom/files/xtrem-art4.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/arkham-horror-cerebros-2.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/arkham-horror-cerebros-3.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/arkham-horror-cerebros-pordetras.jpg","5","4.96","","+6 años"," Xtrem Art","10min","1","Si","0","Sí","1","1","Arkham Horror LCG Series, Xtreme Art","Juegos de Mesa"
