"sku","Título","path","descripcion","estanteria","imagesPath","cost","precio_venta_sin_IVA","old_price","edad","editorial","duracion","dificultad","oferta","nivel","publicado","jugadores","umbral","categoria","tipo"
"FundasJustSleeves66x92Yellow50","Fundas Just Sleeves 66x92mm Standard Card Game Yellow (50)","/fundas-just-sleeves-64-x-90-yellow-50","
	Fáciles de barajar, sin ácidos, sin PVC.


	 


	50 standard-sized sleeves. Compatibles con: Magic: The Gathering ™, Pokémon ™, Pandemic ™, Flesh and Blood ™, Arkham Horror: LCG ™, Nemesis ™, Gloomhaven ™, ... ¡y muchos, muchos más! 


	 


	Fundas Just Sleeves Standard Card Game Clear de tamaño 66 mm x 92 mm.


	 


	


	 


	 


	 
","Mostrador","http://tablerumdrupal.com/sites/tablerumcom/files/just-sleevees-66-x-92-50-yellow-comprar-barato.jpg","1.766","2.024","","+2 años","asmodee","10min","1","No","3","Sí","1","5","Fundas","Juegos de Mesa"
"FundasJustSleeves66x92White50","Fundas Just Sleeves 66x92mm Standard Card Game White (50)","/fundas-just-sleeves-64-x-90-white-50","
	Fáciles de barajar, sin ácidos, sin PVC.


	 


	50 standard-sized sleeves. Compatibles con: Magic: The Gathering ™, Pokémon ™, Pandemic ™, Flesh and Blood ™, Arkham Horror: LCG ™, Nemesis ™, Gloomhaven ™, ... ¡y muchos, muchos más! 


	 


	Fundas Just Sleeves Standard Card Game Clear de tamaño 66 mm x 92 mm.


	 


	


	 
","Mostrador","http://tablerumdrupal.com/sites/tablerumcom/files/just-sleevees-66-x-92-50-white-comprar-barato.jpg","1.766","2.024","","+2 años","asmodee","10min","1","No","5","Sí","1","5","Fundas","Juegos de Mesa"
"GuerraDelAnilloLCGFundasSombra","Guerra del Anillo: El Juego de Cartas Fundas Sombra","/guerra-del-anillo-el-juego-de-cartas-set-de-fundas-sombra","
	Un set de 60 fundas PREMIUM de cartas personalizadas para la facción Sombra de La Guerra del Anillo el Juego de Cartas.


	
","H","http://tablerumdrupal.com/sites/tablerumcom/files/guerra-del-anillo-el-juego-de-cartas-set-de-fundas-sombra-comprar-barato.jpg","10.169","11.115","15","+2 años","devir","10min","1","Si","1","Sí","1","1","Fundas, Accesorios","Juegos de Mesa"
"GuerraDelAnilloLCGFundasPueblosLibres","Guerra del Anillo: El Juego de Cartas Fundas Pueblos Libres","/guerra-del-anillo-el-juego-de-cartas-set-de-fundas-pueblos-libres","
	Un set de 60 fundas PREMIUM de cartas personalizadas para la facción de los Pueblos Libres de La Guerra del Anillo el Juego de Cartas.


	 


	
","H","http://tablerumdrupal.com/sites/tablerumcom/files/guerra-del-anillo-el-juego-de-cartas-set-de-fundas-pueblos-libres-comprar-barato.jpg","10.169","11.115","15","+2 años","devir","10min","1","Si","1","Sí","1","1","Fundas, Accesorios","Juegos de Mesa"
"FundasTABLERUM56x87Premium","Fundas TABLERUM USA PREMIUM 56 x 87 (100 uds)","/fundas-tablerum-56-x-87-premium","
	Este paquete contiene 100 fundas de 90 micrones de grosor (calidad PREMIUM) para las cartas de tamaño USA.


	 


	
","56 x 87","http://tablerumdrupal.com/sites/tablerumcom/files/funda56x87premiumv3-grande.jpg","1.9","2.396","3.25","+5 años","Tablerum","10min","1","Si","88","Sí","1","100","Fundas","Juegos de Mesa"
