"sku","Título","path","descripcion","estanteria","imagesPath","cost","precio_venta_sin_IVA","old_price","edad","editorial","duracion","dificultad","oferta","nivel","publicado","jugadores","umbral","categoria","tipo"
"PulgasALaCarrera","Pulgas a la Carrera (-50%)","/pulgas-a-la-carrera","
	Los jugadores se pondrán en la piel (o en el caparazón) de una pulga que necesita atravesar un extenso y peligroso jardín hasta llegar a su objetivo: un perro lanoso y gordinflón lleno de apetitosa sangre que duerme tranquilamente en su caseta. ¡Hmmm!


	 


	Un divertido juego donde trataremos de llegar al perro usando cartas de movimiento, frenando a nuestros rivales ¡y mintiendo si hace falta para ser la pulga más rápida!
","G4","http://tablerumdrupal.com/sites/tablerumcom/files/pulgas-a-la-carrera-comprar-barato.jpg","11.835","7.417","18","+7 años","Last Level","30min","4","Si","12","Sí","2-5","12","Oferta, Infantiles, Actuales","Juegos de Mesa"
"GrimorioEdiciónLuz","Grimorio: Edición Luz (-40%)","/grimorio-edicion-luz","
	


	 


	¡Controla los elementos! ¡Rompe la cadena!
	
	Grimorio encarna la mecánica clásica de los juegos de naipes, ¡pero con un toque de magia! Para intentar ganar la partida, en tu turno, juega el Hechizo más fuerte que tengas en la mano, usa Hechizos Especiales y utiliza el Elemento de Triunfo en tu beneficio. Una vez que termine la contienda, ¡el Hechizo más fuerte gana!
	
	¡Aprovecha las fuerzas del fuego, el agua, la tierra, el viento y la luz y demuestra tu dominio de la magia! ¿Te decantarás por controlar los Elementos o por romper la antigua regla de la Cadena y confiar en la potencia bruta para hacerte con el título del mago más poderoso?


	
	


	 


	¿Qué contiene?


	
		24 cartas de hechizo básico
	
		6 cartas de hechizo especial
	
		8 cartas de puntuación
	
		4 fichas de vida
	
		Reglamento

","G5","http://tablerumdrupal.com/sites/tablerumcom/files/grimorio-edicion-luz-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/grimorio-edicion-luz-1-comprar-barato.jpg","9.842","7.413","14.99","+14 años","asmodee","30min","6","Si","10","Sí","2-4","12","Oferta, Actuales","Juegos de Mesa"
"ArkaV","Arka V (-65%)","/arka-v","
	
		«Llevamos siglos en su planeta. Siempre hemos pasado inadvertidos. O casi… A veces, los humanos parecen estar a punto de detectar nuestra presencia, pero nos las apañamos para seguir ocultos. Hasta ahora. 

	
		Últimamente, el número de avistamientos indeseados se ha multiplicado y pone en peligro el delicado equilibrio entre las civilizaciones que habitan el cosmos. La Tierra aún no está preparada para el Primer Contacto. Había que hacer algo.

	
		 

	
		El Mando Central acaba de activar el protocolo ARKA. Una flota de naves de recuperación pone rumbo a la Tierra. ¡Es hora de que los extraterrestres abandonen el planeta!

	
		Ahí es donde entras tú. Eres uno de los controladores de la nave de recuperación más importante, la última en abandonar la órbita planetaria, el recurso definitivo de quienes buscan regresar a casa: el ARKA V».



	 


	ARKA V es un divertido juego de disputas intergalácticas, vibrante y fácil de aprender, que te pone a los mandos de una nave interestelar en un rico universo de ficción espacial. Acabas de llegar a la Tierra en una nave que se mantiene en la órbita, oculta. Tu objetivo es recuperar al mayor número de extraterrestres y ofrecerles un destino a su planeta preferido.


	 


	Pero no estás solo. Hay otros coordinadores de ARKA V tratando de hacer lo mismo que tú!


	 


	Juega tus cartas con audacia para establecer nuevos destinos a otros planetas, sube viajeros al ARKA V… ¡y sabotea a la competencia! Solo así lograrás reunir más créditos que nadie para convertirte en el coordinador más famoso del Mando Central.


	 


	


	Un juego de cartas de disputas intergalácticas


	ARKA V es un juego de cartas del autor español Manuel J. García Gata para 2 a 5 jugadores a partir de 10 años de edad y con partidas de apenas media hora de duración. Ilustrado por el conocido y polifacético dibujante de cómics Vicente Cifuentes, te invita a viajar a un universo de ficción espacial habitado por una decena de civilizaciones interestelares de la más diversa índole.


	 


	En este juego adoptas el rol de uno de los controladores del ARKA V, la nave interestelar definitiva para los extraterrestres que tienen que abandonar la Tierra y buscan regresar a casa. Tu misión es muy concreta: sube a todos los extraterrestres que puedas a la nave, establece destinos para enviarlos a sus planetas preferidos y conviértete en el empleado que más créditos atesore con su trabajo.


	 


	


	Un mundo que evoluciona contigo


	¿Has visto que las cartas de viajero de ARKA V incluyen un código QR?


	 


	Escanéalo con tu dispositivo móvil, aprende más sobre las civilizaciones que pueblan el cosmos de este nuevo juego de mesa de TCG Factory… ¡y contempla cómo evoluciona a medida que juegas partidas!


	 


	Desde los atribulados y orgullosos Shâraka a los poderosos Sinha y pasando por los incomprendidos Sarati, el mundo de ARKA V evoluciona y se enriquece con cada partida que juegas. ¡No disputarás dos partidas iguales y podrás decidir con tus acciones el futuro de las civilizaciones interestelares que pueblan el cosmos!


	 


	¿Qué contiene?


	
		40 fichas de crédito: 23 de valor 1, 12 de valor 2 y 5 de valor 3.
	
		7 fichas de recompensa (por destino, por prestigio y al más rápido).
	
		25 fichas de destino, en 5 colores distintos.
	
		13 cartas de acción.
	
		55 cartas de viajero, 11 de cada color.
	
		Reglamento.

","G4","http://tablerumdrupal.com/sites/tablerumcom/files/arka-v-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/arka-v-1-comprar-barato.jpg","15.587","8.012","22","+10 años"," TCG Games","30min","6","Si","5","Sí","2-5","6","Oferta, Actuales","Juegos de Mesa"
"WhoDidIT","Who Did It? (-70%)","/who-did-it","
	
		“¡Mi loro NO se cagó en medio del comedor, pero creo que fue el conejo!” 



	 


	Como orgulloso propietario de un precioso conejito, tu deber es despejar rápidamente las dudas sobre él y apuntar las sospechas hacia la mascota de otro jugador. Para conseguirlo deberás confiar en tu memoria y tu rapidez de reacción o si no puedes acabar acusando a una mascota inocente y teniendo que limpiar tú todo el estropicio.


	 


	
	
	¿Qué contiene?


	
		36 cartas (6 animales en 6 colores)
	
		13 fichas de cagada.

","B4","http://tablerumdrupal.com/sites/tablerumcom/files/who-did-it-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/who-did-it-1-comprar-barato.jpg","7.879","2.962","11.95","+6 años","asmodee","20min","5","Si","9","Sí","3-6","12","Oferta, Infantiles, Actuales","Juegos de Mesa"
"NiFuNiFa","Ni fu ni fa","/ni-fu-ni-fa","
	¡El juego cooperativo más divertido de todos los tiempos!


	 


	Su objetivo es todo un reto, dificil logar, pero es ideal para echarte unas risas con tus amigos, tu familia, hijos...


	 


	Es muy sencillo: pasa el FU a un lado y el FA al otro, juega en equipo para que lleguen al otro lado... ¡¡Y fracasa en el intento!!


	 


	Un desternillante juego ¡con la colaboración de JorgeRamonWeb!


	 


	¿Qué contiene?


	
		
			1 Fu
		
			1 Fa
		
			34 cartas
		
			Reglamento
	

","A7,X2","http://tablerumdrupal.com/sites/tablerumcom/files/ni-fu-ni-fa-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/ni-fu-ni-fa-1-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/ni-fu-ni-fa-2-comprar-barato.jpg","11.857","13.305","18.95","+14 años","Mercurio","10min","4","Si","4","Sí","5-12","7","Oferta, Actuales","Juegos de Mesa"
