"sku","Título","path","descripcion","estanteria","imagesPath","cost","precio_venta_sin_IVA","old_price","edad","editorial","duracion","dificultad","oferta","nivel","publicado","jugadores","umbral","categoria","tipo"
"ROLElViejoTerrible","El Viejo Terrible","/el-viejo-terrible","
	


	 


	En una casa antigua de Water Street, junto al mar, vive un decrépito anciano cuya juventud ya nadie recuerda en la ciudad costera de Kingsport. Se dice de él que esconde una gran fortuna tras los muros de su morada. 


	 


	Pero no se engañen; a pesar de la tentadora lumbre que se derrama desde dentro, ésta no es una casa en la que desearían entrar. No, no es un lugar agradable en el que van a verse envueltos y menos agradable será el encuentro que protagonicen con este anciano. 
	 
","Rol","http://tablerumdrupal.com/sites/tablerumcom/files/el-viejo-terrible-1-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/el-viejo-terrible-comprar-barato.jpg","6.585","9.086","","","edge","","","","1","Sí","","1","Rol","libros"
"ROLExoExodosierAgakals","EXO: Dosier: Agakals","/exo-exodosier-agakals","
	Exodosier: agakals es un suplemento de ambientación para el juego de rol Exo 3464. En él se presenta una localización (un sistema estelas) con una incipiente civilización que durante miles de años ha estado bajo el control (cada vez menos férreo) de los iroiendi, pero que serán descubiertos por la 8ª flota de la RFP en la aventura que acompaña en el suplemento. Los agakals son tyranos que fueron abducidos tiempo atrás y reubicados en este sistema para su observación. Hace tiempo que perdieron el contacto con sus congéneres, aunque el sen innato de esta especie les dice que hay más cosas ahí fuera.


	 


	


	 


	El planeta Charim, el planeta de los agakals, es bastante hostil climática y biológicamente y sobrevivir es parte del día a día de los agakals. Con este suplemento de Exo podrás jugar aventuras con los propios agakals antes del primer contacto (es decir, partidas con las diferentes facciones dentro de la sociedad agakals), partidas en el primer contacto (con «contactadores» amigables y no tan amigables) y partidas tras ese primer contacto con los agakals saliendo de su planeta y descubriendo el universo de Exo.


	 


	El libro incluye una tarjeta de tamaño compatible con la pantalla 17 personalizable que incluye el mapa de Charim y, en el reverso, algunas tablas para facilitar la creación de personajes agakals.


	 


	¡Que los ki-silé cuiden tu paso!
","Rol","http://tablerumdrupal.com/sites/tablerumcom/files/exo-exodosier-agakals-comprar-barato.jpg","12.575","17.355","","","Ediciones Sombra","","","","1","Sí","","1","Rol","libros"
"ROLMarcaDelEsteCatacumbaEspantosKavaduz","La Marca del Este: La Catacumba de los Espantos de Kavaduz","/la-marca-del-este-la-catacumba-de-los-espantos-de-kavaduz","
	La Catacumba de los Espantos de Kavaduz es una aventura diseñada para un grupo de 4 a 6 jugadores de nivel 12-15. A efectos de juego, La Catacumba de los Espantos de Kavaduz se emplaza bajo la ermita o abadía del mismo nombre, una recóndita y misteriosa localización que puede emplazarse en cualquier escenario de campaña que se desee, o bien jugarse independientemente. También es posible localizar la misma en el escenario de campaña por defecto de la Marca del Este, presente en la caja azul original y en el recientemente editado Gazetteer de la Marca.


	 


	


	 


	Modulo para personajes de nivel 12-15.
","Rol","http://tablerumdrupal.com/sites/tablerumcom/files/la-marca-del-este-la-catacumba-de-los-espantos-de-kavaduz-comprar-barato.jpg","3.918","5.48","","","Ediciones Sombra","","","","1","Sí","","2","Rol","libros"
"ROLMarcaDelEsteIncursionTierraDiosAzul","La Marca del Este: Incursión a la Tierra del Dios Azul","/la-marca-del-este-incursion-a-la-tierra-del-dios-azul","
	Una estrella ha caído en el corazón de las estepas de las Tierras Nómadas y de ella ha empezado a extenderse una extraña jungla de hojas azules. Los animales mutan en sus cercanías, el cielo nocturno se llena de portentos y la gente tiene sueños y profecías nefandas. ¿Podrán los aventureros descubrir qué secretos encierra lo que los nativos llaman Gökday Baq: el Jardín del Dios Azul?


	 


	


	 


	Módulo para personajes de nivel 6-7.
","Rol","http://tablerumdrupal.com/sites/tablerumcom/files/la-marca-del-este-incursion-a-la-tierra-del-dios-azul-comprar-barato.jpg","3.918","5.48","","","Ediciones Sombra","","","","1","Sí","","2","Rol","libros"
"ROLMarcaDelEsteMuerteMansionMagoMalifax","La Marca del Este: Muerte en la Mansión del Mago Malifax","/la-marca-del-este-muerte-en-la-mansion-del-mago-malifax","
	La Campana Negra sonó trece veces en mitad de la noche, como se profetizó que haría cuando el mago Malifax muriera. La mansión que el hechicero construyó a las afueras de Marvalar, de la que nadie ha salido en años, ha perdido su constructor, y los secretos y tesoros que oculta están al alcance de aquellos lo suficientemente osados para tomarlos.


	 


	


	 


	El mago Malifax ha muerto. Nadie ha visto su cuerpo, pero en mitad de la noche la Campana Negra sonó trece veces, cada tañido más fuerte que el anterior. Después de la decimotercera campanada, la Torre Sin Puertas Ni Ventanas, en cuya cúspide estaba el artefacto, tembló y se derrumbó.


	 


	Inmediatamente el rumor se extendió como una plaga malsana por Marvalar: ¡Malifax había muerto! Y por tanto, los tesoros de su mansión estaban al alcance de aquellos lo suficientemente locos y atrevidos como para ir a buscarlos.


	Módulo para personajes de nivel 6-10.
","Rol","http://tablerumdrupal.com/sites/tablerumcom/files/muerte-en-la-mansion-del-mago-malifax-comprar-barato.jpg","3.918","5.48","","","Ediciones Sombra","","","","1","Sí","","2","Rol","libros"
