"Código SKU","titulo","Ruta","Cuerpo","ESTANTERIA","Imagen","Coste","Precio de venta sin Iva","Old Price","Edad","Editorial","Duracion","Dificultad (1-10)","Oferta","Nivel","Publicado","Jugadores","Umbral","titpo_contenido"
"5MinuteDungeon","5 Minute Dungeon","/5-minute-dungeon","
	¡LOS CINCO MINUTOS MÁS DIVERTIDOS QUE PUEDES JUGAR!


	
	¿Eres un Bárbaro? ¿Un Mago? ¿Quizá un Ladrón? ¡Cada uno de los 10 héroes posee una habilidad exclusiva para ayudar al grupo!
	 


	Derrota monstruos y obstáculos jugando cartas que contengan los mismos símbolos. No hay turnos, ¡aquí todos lucháis al mismo tiempo!


	
	
	¿Qué contiene?


	
		200 cartas de Héroe
	
		55 cartas de Mazmorra
	
		20 cartas de Reto
	
		3 tableros de Jefe de doble cara
	
		5 tableros de Héroe de doble cara
	
		Reglamento.

","E5","http://tablerumdrupal.com/sites/tablerumcom/files/5-minute-dungeon-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/5-minute-dungeon-1-comprar-barato.jpg","19.709","24.71","","+8 años","asmodee","10min","5","No","3","Sí","2-5","6","Juegos de Mesa"
"5MinuteDungeonMaldicionOtraVezNo","5 Minute Dungeon: ¡Maldición! ¡Otra Vez No!","/5-minute-dungeon-maldicion-otra-vez-no","
	¡Tened cuidado, aventureros!



	¡El Amo de las Mazmorras ha descubierto un antiguo volumen de maldiciones y lo ha utilizado para poner trampas mágicas por sus mazmorras! ¿Tenéis el valor necesario para afrontar este desafío?




	¿Qué contiene?



		1 tablero de Héroe de doble cara

		25 cartas de Jefe

		2 cartas de Reto

		52 cartas de Héroe

		6 cartas de Artefacto

		Reglamento.




	IMPORTANTE
	Para jugar se necesita la caja básica de 5 Minute Dungeon.
","E5","http://tablerumdrupal.com/sites/tablerumcom/files/5-minute-dungeon-maldicion-otra-vez-no-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/5-minute-dungeon-maldicion-otra-vez-no-1-comprar-barato.jpg","14.176","16.446","","+8 años","asmodee","10min","5","No","1","Sí","2-5","2","Juegos de Mesa"
