"sku","Título","path","descripcion","estanteria","imagesPath","cost","precio_venta_sin_IVA","old_price","edad","editorial","duracion","dificultad","oferta","nivel","publicado","jugadores","umbral","categoria","tipo"
"Arqueológico","ArqueOlógico","/arqueologico","
	Se ha descubierto una ciudad en la montaña, pero nadie se atreve a explorarla sin haber hecho un mapa del lugar. Finalmente, una misión digna de un arqueólogo altamente lógico como tú. Para ayudarte en la misión, puedes contar con el Arqueoscopio, la única herramienta de investigación capaz de descifrar las cartas codificadas que dejaron los Antiguos.


	 


	Encuentra pistas y usa tus habilidades de deducción para establecer una conexión entre estas cartas y hacer un mapa de este misterioso lugar. Aun así, ten cuidado; sin un mapa preciso, explorar esta ciudad podría tener fatales consecuencias…


	¡Ahora te toca a ti!


	 


	


	 


	Un juego de deducción con componentes impresionantes. Un modo solitario con múltiples desafíos. Una aplicación para comprobar fácilmente tu victoria y que aporta nuevos desafíos.


	 


	¿Qué contiene?


	
		1 tablero de Ciudad
	
		1 ficha de Visor
	
		1 rueda de Pistas iniciales
	
		1 Arqueoscopio
	
		28 cartas Codificadas
	
		8 pantallas
	
		4 tableros de Mapa
	
		24 losetas de Edificio
	
		4 marcadores de Tiempo
	
		8 fichas de Trampa
	
		1 bloc de notas

","E4","http://tablerumdrupal.com/sites/tablerumcom/files/arqueologico-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/arqueologico-1-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/arqueologico-2-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/arqueologico-3-comprar-barato.jpg","21.902","21.033000000000001","30","+12 años","Maldito Games","40min","6","Si","0","Sí","1-4","2","Actuales","Juegos de Mesa"
"Boop","Boop","/boop","
	Los gatitos se han escapado y se han puesto a saltar en la cama, empujándose y rebotando entre sí en este juego multi-premiado y exclusivo para 2 jugadores. En Boop los jugadores tratarán de crear líneas de 3 de gatitos de su color para incorporar al tablero a los de mayor tamaño, pero cuidado, todos los gatos adyacentes, ya sean del rival o propios, rebotan un espacio e incluso ¡fuera de tablero! Tan adorable como desafiante, Boop es un diseño abstracto de componentes encantadores y sutil exigencia.


	 


	


	 


	Un juego de estrategia abstracto para dos jugadores, engañosamente adorable y engañosamente desafiante.


	 


	Cada vez que colocas un gatito en la cama, hace “boop”. Es decir, empuja a todos los demás gatitos del tablero un espacio más lejos. Alinea tres gatitos seguidos para graduarlos en gatos…¡gordos! y luego, alinea tres gatos gordos para ganar.


	 


	Pero eso no es fácil si tanto tú como tu oponente estáis constantemente “empujando” gatitos.


	 


	¿Podrás colocar a tus gatos para ganar? ¿O te “echarán” fuera de la cama?
","F3","http://tablerumdrupal.com/sites/tablerumcom/files/boop-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/boop-1-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/boop-2-comprar-barato.jpg","18.21","17.52","24.95","+10 años","delirium games","30min","6","Si","1","Sí","2","1","Actuales","Juegos de Mesa"
"Bastion100+XLBlue","Bastion 100+ XL Blue","/bastion-100-xl-blue","
	
		«¡Si vas a resistir, resiste como un bastión!». 



	 


	El modelo Bastion 100+ XL es una caja para mazos muy compacta y resistente que protege más de 100 cartas en doble funda con fundas interiores muy gruesas. 


	 


	


	 


	Además, podrás ver la parte superior de la carta Commander sin tener que abrir la caja gracias a que está hecha de material translúcido y a la posición de las solapas de cierre. Su mecanismo de cierre innovador en un solo clic protege los mazos y, al mismo tiempo, permite acceder fácilmente a las cartas. La caja Bastion está formada por 2 partes simétricas que se convierten en una caja para tu mazo y en otra para tu mazo de descartes. Una caja perfecta para una gran variedad de juegos de cartas. 


	 


	Gracias a su diseño modular, cabe perfectamente dentro de otros modelos de Gamegenic. Incluye una pegatina con campo de rotulación que permite personalizarla. Está disponible en 10 colores diferentes, entre los que se incluyen versiones compatibles de color negro y transparente.
","X3","http://tablerumdrupal.com/sites/tablerumcom/files/bastion-100-xl-blue-comprar-barato.jpg","8.503","9.834","","+2 años","asmodee","10min","1","No","1","Sí","1","1","Accesorios","Juegos de Mesa"
"Bastion100+XLBlack","Bastion 100+ XL Black","/bastion-100-xl-black","
	
		«¡Si vas a resistir, resiste como un bastión!». 



	 


	El modelo Bastion 100+ XL es una caja para mazos muy compacta y resistente que protege más de 100 cartas en doble funda con fundas interiores muy gruesas. 


	 


	


	 


	Además, podrás ver la parte superior de la carta Commander sin tener que abrir la caja gracias a que está hecha de material translúcido y a la posición de las solapas de cierre. Su mecanismo de cierre innovador en un solo clic protege los mazos y, al mismo tiempo, permite acceder fácilmente a las cartas. La caja Bastion está formada por 2 partes simétricas que se convierten en una caja para tu mazo y en otra para tu mazo de descartes. Una caja perfecta para una gran variedad de juegos de cartas. 


	 


	Gracias a su diseño modular, cabe perfectamente dentro de otros modelos de Gamegenic. Incluye una pegatina con campo de rotulación que permite personalizarla. Está disponible en 10 colores diferentes, entre los que se incluyen versiones compatibles de color negro y transparente.
","X3","http://tablerumdrupal.com/sites/tablerumcom/files/bastion-100-xl-black-comprar-barato.jpg","8.503","9.834","","+2 años","asmodee","10min","1","No","1","Sí","1","1","Accesorios","Juegos de Mesa"
"AventurasYPaisajes","Aventuras y Paisajes","/aventuras-y-paisajes","
	


	 


	¡Explora cualquier libro de tu estantería!


	
	¡Recorre junto a tus amistades infinidad de paisajes imaginarios hasta encontrar el tesoro de la Ciudad Perdida!


	
		Haz de Guía del libro que elijas y lee en secreto las primeras líneas de la página a explorar
	
		Elige uno de los cuatro Marcapáginas y lee el pasaje en voz alta.
	
		Cuando termines, el grupo explorador tratará de elegir el mismo Marcapáginas que tú para poder avanzar por el libro ¡y así estar un paso más cerca de la victoria!



	¡En vuestra aventura deberéis superar desafíos y misiones sorprendentes a la par que audaces!
	
	¿Qué contiene?


	
		1 reglamento
	
		84 Marcapáginas
	
		1 Brújula
	
		26 fichas de Letra
	
		6 cartas de Personaj
	
		1 Palabro-sincronizador Mark I

","F2","http://tablerumdrupal.com/sites/tablerumcom/files/aventuras-y-paisajes-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/aventuras-y-paisajes-1-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/aventuras-y-paisajes-2-comprar-barato.jpg","19.705","24.71","","+10 años","asmodee","50min","6","No","6","Sí","2-6","6","Actuales","Juegos de Mesa"
"GenesysSetDeDados","Genesys: Set de Dados","/genesys-set-de-dados","
	Genesys es un juego de rol que utiliza el aclamado Sistema de Dados Narrativos, un conjunto de reglas que puede utilizarse en una amplia variedad de escenarios. 


	


	Surca los cielos en una aeronave victoriana, mata a un antiguo dragón o pilota tu propia nave estelar. Todo esto y mucho más es posible con el sistema Genesys, que utiliza los dados especializados que se encuentran en este pack para impulsar las aventuras. 


	 


	El pack de dados de rol Genesys incluye dados de habilidad, dados de dificultad, dados de contratiempo, dados de mejora, dados de habilidad y dados de desafío, que te proporcionan todo lo que necesitas para dirigir tu propia partida de Genesys.Estos dados especializados proporcionan resultados dinámicos a cada chequeo de habilidad, permitiendo a los jugadores tener éxito en su tarea mientras experimentan un enorme contratiempo, o encontrar alguna ventaja en un enorme fracaso. No sólo eso, sino que los dados son fáciles de interpretar, manteniendo el flujo del juego estable y fluido mientras los jugadores y los maestros de juego comprueban los resultados de las pruebas de habilidad con facilidad.
","H","http://tablerumdrupal.com/sites/tablerumcom/files/genesys-dados-extra-comprar-barato.jpg","10.632","12.355","","+12 años","edge","60-120 min","6","No","2","Sí","2-6","2","Accesorios, Actuales","Juegos de Mesa"
"CortexKidsDisneyEdition","Cortex Kids Disney Edition","/cortex-kids-disney-edition","
	Desafía a tus amigos y a tu cerebro con un divertido juego que pondrá a prueba tu rapidez mental, pensamiento lógico, memoria y reflejos.
	 


	¿Estás preparado para el reto?


	 


	
	
	¿Qué contiene?


	
		90 cartas (74 cartas Prueba, 6 cartas Desafío táctil, 10 cartas táctiles en relieve)
	
		6 puzzles-cerebro (24 piezas).

","B8","http://tablerumdrupal.com/sites/tablerumcom/files/cortex-kids-disney-edition-comprar-barato.jpg","12.758","14.793","","+6 años","asmodee","20min","4","No","1","Sí","2-6","2","Infantiles, Actuales","Juegos de Mesa"
"Satori","Satori (悟り)","/satori","
	Embárcate en un viaje espiritual con Satori. En este juego te sumergirás en la serenidad de las antiguas montañas y templos. ¿Tienes la sabiduría necesaria para guiar a tus devotos hacia los altares y los monjes al rezo? Cada decisión te acercará más a tu camino. Aprovecha tu destreza y sabiduría para ganar construir la majestuosa pagoda y descubre un equilibrio entre la estrategia y la meditación en Satori.


	 


	Satori (悟り) es un término del budismo japonés que significa despertar y se refiere a una experiencia plena y profunda de iluminación.


	
	


	
	En Satori, los jugadores compiten para avanzar en el camino espiritual. Para ello, construirás nuevos templos para que los fieles recen, conseguirás a los monjes más sabios y contribuirás a construir la gran pagoda para convertir Koyasan en el corazón del budismo zen.
	
	En tu turno, elige a uno de los devotos disponibles en el tori y llévalo a un templo para resolver una acción. Podrás obtener recursos o resolver diferentes acciones en los templos. También puedes llevar a tus monjes a las montañas, lo que te permitirá concatenar acciones adicionales y avanzar en el camino espiritual.


	 
","PREVENTA","http://tablerumdrupal.com/sites/tablerumcom/files/satori-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/satori-1-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/satori-2-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/satori-3-comprar-barato.jpg","40.156","38.636","55","+14 años","desconocida","60min","6","Si","0","Sí","1-4","2","Actuales","Juegos de Mesa"
"CastillosReyLocoLudwigExpansiones","Castillos del Rey Loco Ludwig: Expansiones","/castillos-del-rey-loco-ludwig-expansiones","
	En Castillos del Rey Loco Ludwig, construiste el castillo perfecto siguiendo los caprichos del Rey. Pero ahora desea todavía más (está loco, después de todo). 


	 


	Esta caja contiene varias expansiones que podrás jugar por separado o en la combinación que quieras, así como nuevas cartas de bonificación y losetas de Favor.


	
		Renovaciones: Rediseña tu castillo con Habitaciones dobles especiales que se colocan directamente encima de las que ya tienes.
	
		Torres: Losetas especiales que otorgan recompensas adicionales.
	
		Fosos: Rodea tu castillo y obtén PV adicionales por tus Habitaciones.
	
		Fichas de Cisne: Reúne conjuntos de fichas de Cisne que puedes convertir en monedas o en PV al final de la partida.
	
		Pasadizos secretos: Duplica las bonificaciones por conexión y adapta accesos difíciles.
	
		Decretos Reales: Obtén un poder de jugador único y asimétrico al inicio de la partida.
	
		Nuevos Favores y bonificaciones: Aumenta la variedad de objetivos de en de la partida.



	 


	


	 


	¿Qué contiene?


	
		1 Escaleras
	
		2 Pasillos
	
		1 Recibidor
	
		10 Fosos
	
		5 Barbacanas
	
		40 fichas de Cisne
	
		11 Favores del Rey
	
		13 cartas de bonificación
	
		5 cartas de Habitación
	
		5 ayudas de jugador
	
		75 Habitaciones
	
		8 Torres
	
		58 cartas de Decreto Real
	
		15 Pasadizos secretos
	
		60 Renovaciones
	
		1 Cisne (marcador de jugador)
	
		2 bandejas organizadoras GameTrayz™
	
		1 reglamento

","E0","http://tablerumdrupal.com/sites/tablerumcom/files/castillos-del-rey-loco-ludwig-expansiones-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/castillos-del-rey-loco-ludwig-expansiones-2-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/castillos-del-rey-loco-ludwig-expansiones-1-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/castillos-del-rey-loco-ludwig-expansiones-4-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/castillos-del-rey-loco-ludwig-expansiones-5-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/castillos-del-rey-loco-ludwig-expansiones-6-comprar-barato.jpg","20.343","21.033000000000001","30","+14 años","Maldito Games","60-120 min","6","Si","1","Sí","1-4","2","Actuales","Juegos de Mesa"
"ROLPathfinder2EdCoronaReyKóbold","Pathfinder 2ªEd: La Corona del Rey Kóbold","/pathfinder-la-corona-del-rey-kobold","
	Una de las primeras aventuras de Pathfinder vuelve en formato expandido! ¡El pueblo de Hondonada del Halcón está en peligro porque el rey kóbold Merlokrep, el primero de su nombre, se apresta a extender sus dominios!


	
	Una aventura clásica, lista para llevar a una nueva generación de héroes de 1.er a 6.º nivel.


	 


	¡El retorno del rey Kóbold! 


	 


	


	 


	La Corona del Rey Kóbold es una revisión y un retorno a algunas de las primeras aventuras ambientadas en el mundo de Golarion. Este volumen revisa y reimprime las aventuras clasicas Hollow’s Last Hope (de Jason Buhlmann y F. Wesley Schneider), Crown of the Kobold King (de Nicolas Logue) y Hungry Are The Dead (de Tim Hitchcock), reunidos y ampliados con un nivel de dungeon completo nuevo y jamás publicado antes, creado por Nicolas Logue. 


	 


	Las reglas se han actualizado y el relato, revisado para que presente un todo cohesionado, pero la necesidad desesperada de héroes valientes en Hondonada del Halcón es la misma de siempre. Los lectores de los originales podrían detectar cambios significativos en las aventuras originales. 


	 


	Tal y como se presentaron originalmente, estas tres aventuras se publicaron por separado y la opción de jugarlas juntas como una mini campaña mayor siempre fue eso, una opción. Ahora todo el Crisol de Droskar ha sido reunido en un solo libro y las tramas de aventura originales de las aventuras previas han sido revisadas significativamente o directamente reemplazadas.
","Rol","http://tablerumdrupal.com/sites/tablerumcom/files/pathfinder-la-corona-del-rey-kobold-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/pathfinder-la-corona-del-rey-1-kobold-comprar-barato.jpg","22.858","31.923","","","devir","","","","2","Sí","","3","Rol","libros"
"Bruxelles 1893","Bruxelles 1893","/bruxelles-1893","
	Bruselas, 1893: Victor Horta diseña la Casa Autrique y la Casa Tassel, conocidas en todo el mundo como los primeros edificios de estilo «art nouveau». 


	 


	El «art nouveau» se caracteriza por elementos como la luz, curvaturas inspiradas en plantas y flores, herrajes, mosaicos, frescos y vidrieras. Ese mismo año, Paul Hankar también construye su propia casa en estilo «art nouveau». Bruselas se convierte en la cuna de este movimiento artístico que pronto inspirará a toda Europa e influirá en los más grandes arquitectos de la edad dorada, también conocida como la «Belle Époque».


	 


	


	 


	En Bruxelles 1893, adoptas el papel de uno de estos ilustres arquitectos. Construirás magníficas casas y crearás obras de arte para decorarlas. Los nobles más distinguidos de la era te ayudarán a hacer crecer tu inf luencia. Tu gran sueño es completar tu propia obra maestra arquitectónica, exhibida en tu tablero de jugador.


	 


	Al final de la partida, el arquitecto con más prestigio, en forma de puntos de victoria (PV), es el ganador.
","D1","http://tablerumdrupal.com/sites/tablerumcom/files/bruxelles-1893-comprar-barato.jpg","47.451","45.619","65","+14 años","Maldito Games","60-120 min","6","Si","1","Sí","2-5","6","Actuales","Juegos de Mesa"
"NiniveLaBatallaDeMosul","Nínive: La Batalla de Mosul","/ninive-la-batalla-de-mosul","
	Nínive. La batalla de Mosul enfrenta bandos asimétricos con condiciones de victoria secretas elegidas por los jugadores. Para 2 jugadores… ¡También en solitario!


	
	Un juego táctico/operacional totalmente en castellano que refleja la campaña del Gobierno iraquí para liberar la ciudad de Mosul de las fuerzas del Dáesh entre el 19 de febrero y el 9 de julio de 2017.


	
	Nínive. La batalla de Mosul enfrenta bandos asimétricos con condiciones de victoria secretas elegidas por los jugadores. Para 2 jugadores… ¡También en solitario!


	 


	


	


	 


	 


	


	 


	
		Una de las mayores y más difíciles operaciones urbanas tras la Segunda Guerra Mundial, que marcó una importante derrota para el Daesh y su autoproclamado «Estado Islámico».

	
		El Dáesh llevaría a cabo su última resistencia en el densamente edificado casco antiguo, en la parte oeste de Mosul, dividido en las zonas representadas en el tablero de juego.

	
		El ejército iraquí, fuerzas del Ministerio de Interior y el Servicio Antiterrorista de élite se enfrentarían a las fuerzas del Estado Islámico en una dura batalla representada en turnos de aproximadamente dos semanas de agotador combate.

	
		El juego combina una complejidad moderada, siendo accesible para jugadores que se enfrenten por primera vez a un wargame, con un tratamiento rico y detallado de la batalla que te sumergirá en el conflicto sea cual sea tu experiencia en este tipo de juegos.

	
		A diferencia de la mayoría de los juegos en los que hay una única medida para la victoria o la derrota, Nínive evalúa tres aspectos clave de la campaña: la velocidad a la que se completa la operación, las bajas sufridas por las fuerzas gubernamentales iraquíes y los daños colaterales causados a Mosul.

	
		Estas condiciones de victoria son elegidas en secreto al principio de la partida por los jugadores, de manera que has de deducir en base a sus acciones cuál será la preferencia de tu rival, para negarle así la victoria.

	
		Unidades y cartas

	
		Cada unidad representa a un centenar de combatientes del Dáesh o a unidades del Ejército iraquí, el Ministerio del Interior y el Servicio Antiterrorista de élite, representados por bloques para mantener la incertidumbre y la «niebla de guerra».

	
		Las cartas se utilizan para indicar los preparativos defensivos, el apoyo aéreo o de fuego indirecto, las armas especiales y otras capacidades diversas.

	
		El juego combina un sistema de movimiento y combate sencillo e intuitivo, pero muy eficaz, con una serie de elementos de juego innovadores:

	
		Antes de que comience la operación, los jugadores eligen una serie de cartas de capacidad especial, que reflejan su planificación y preparativos para esta batalla. ¿Deben las fuerzas gubernamentales iraquíes solicitar apoyo aéreo y de artillería, o esto podría causar una destrucción excesiva en la segunda ciudad más grande de Irak? ¿Tal vez solicitar fuerzas terrestres adicionales o invertir en un mejor adiestramiento de las que ya tienen? Y las milicias chiíes voluntarias de las Fuerzas de Movilización Popular, ¿se utilizarán en esta ciudad mayoritariamente suní?

	
		¿Invertirá el Dáesh en más artefactos explosivos improvisados y de mayor tamaño? ¿Posicionará talleres de bombas y depósitos de armas, o tal vez un centro de medios de comunicación para publicitar sus logros? ¿Qué sorpresas podrían tener preparadas: drones de fabricación casera, armas químicas rudimentarias o una red de túneles bajo la ciudad? No habrá dos partidas iguales.

	
		Durante cada turno, las cartas de evento pueden ser activadas en cualquier momento por cualquiera de los jugadores. Algunas de ellas indican los crecientes daños colaterales causados a la ciudad y sus habitantes. Otras generan situaciones tácticas. Las tropas pueden perderse en el laberinto de callejuelas, las comunicaciones pueden fallar y los comandantes pueden enfrentarse a difíciles decisiones morales y operativas.



	 


	
","F6","http://tablerumdrupal.com/sites/tablerumcom/files/ninive-la-batalla-de-mosul-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/ninive-la-batalla-de-mosul-1-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/ninive-la-batalla-de-mosul-2-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/ninive-la-batalla-de-mosul-3-comprar-barato.jpg","40.676","45.619","65","+12 años","Dracoideas","60-120 min","6","Si","0","Sí","1-2","2","Actuales","Juegos de Mesa"
"2GMTacticsDeLuxe","2GM Tactics DeLuxe (3ªEd) ","/2gmt-tactics-edicion-de-luxe","
	Despliega tus tropas estratégicamente, utiliza el terreno y los recursos a tu favor para conseguir la victoria final.


	


	 


	2GM Tactics es un juego de tablero, tipo wargame, que permite recrear batallas entre las naciones de los Estados Unidos y Alemania en el Frente de la Europa Occidental, durante la II Guerra Mundial.


	 


	


	 


	
		Es un juego de 1 a 4 jugadores, con un fuerte componente de configuración de ejércitos, donde las cartas representan unidades y diversas acciones en el campo de batalla. 
	
		Incluye un modo de juego en Solitario, así como 12 Escenarios Especiales y 24 Escenarios Históricos, desarrollados en 4 campañas completas.
	
		Esta tercera edición es totalmente compatible con el resto de material ya publicado.



	​


	
		Tiene una caja del mismo tamaño que 2GM Pacific. Incluye 330 cartas, más de 100 marcadores, un nuevo tablero de juego acorde al terreno normando y un inserto de plástico para organizar mejor los componentes del juego.
	
		Contiene 2 dados personalizados de 10 caras, donde la cara del 10 contiene el logo de cada facción (Alemania y EE. UU.).



	 


	
","F6","http://tablerumdrupal.com/sites/tablerumcom/files/2gmt-tactics-edicion-de-luxe-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/2gmt-tactics-edicion-de-luxe-1-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/2gmt-tactics-edicion-de-luxe-2-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/2gmt-tactics-edicion-de-luxe-3-comprar-barato.jpg","37.544","42.107","60","+12 años","Dracoideas","30min","6","Si","0","Sí","1-4","2","Actuales","Juegos de Mesa"
"CarcassonneSetMiniexpansiones","Carcassonne: Expansiones Reunidas","/carcassonne-set-mini-expansiones","
	Inlcuye 4 mini-expansiones para el juego básico:


	
		
			Los Mercados de Leizpig
	
	
		
			Monasterios de Alemania
	
	
		
			Las Catedrales de Alemania
	
	
		
			Los peajes
	



	​
","D7","http://tablerumdrupal.com/sites/tablerumcom/files/carcassonne-set-mini-expansiones-comprar-barato.jpg","13.559","14.834","20","+8 años","devir","40min","6","Si","5","Sí","2-5","15","Expansiones, Actuales","Juegos de Mesa"
"Claro","Claro","/claro","
	Claro es un filler de cartas en el que el objetivo es ser la última persona en colocar carta y ganar 3 estrellas. Lo más difícil de Claro es encontrar un juego más sencillo.


	


	Las reglas son tan claras como la luz del día:


	
		Juega siempre una carta más alta o una carta con una estrella del mismo color.
	
		Sé la última persona en jugar carta y gana una estrella ⭐



	Cuando una persona consiga 3 estrellas, ganará la partida y será proclamada como ¡la nueva gran superestrella de Claro ????


	 


	¿Qué contiene?


	
		55 cartas
	
		13 estrellas.

","B6","http://tablerumdrupal.com/sites/tablerumcom/files/claro-comprar-barato.jpg","8.101","8.388","11.95","+7 años","desconocida","20min","5","Si","0","Sí","3-6","2","Viaje, Actuales","Juegos de Mesa"
"MicroRoma","Micro Roma","/micro-roma","
	En Micro Roma, agregarás territorios a tu imperio y aumentarás tu fama combinando los distintos edificios.


	 


	


	 


	¡Prepárate para combatir a los bárbaros y ser el próximo César!


	 


	Para ello deberás construir Roma y desarrollar el imperio jugando cartas para obtener la puntuación más alta cuando se construya el Coliseo.


	 


	


	 


	¿Qué contiene?


	
		1 tarjetero
	
		1 reglamento
	
		18 cartas

","F7","http://tablerumdrupal.com/sites/tablerumcom/files/micro-roma-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/micro-roma-1-comprar-barato.jpg","5.389","5.578","7.95","+10 años","desconocida","30min","6","Si","0","Sí","1","2","Viaje, Actuales","Juegos de Mesa"
"LosLibrosDelTiempoCartaPromoPele","Los Libros del Tiempo: Carta Promo Pelé","/los-libros-del-tiempo-carta-promo-pele","
	Carta Promo Pele - Los libros del tiempo
","Mostrador","http://tablerumdrupal.com/sites/tablerumcom/files/los-libros-del-tiempo-carta-pele-comprar-barato.jpg","1.46","1.57","2","+14 años","Maldito Games","40min","6","Si","0","Sí","1-4","1","Expansiones, Actuales","Juegos de Mesa"
"DeltaEdicionDeLuxeAllIn","Delta: Edición Deluxe All-In","/delta-edicion-de-luxe-all-in","
	Edición Deluxe All-In


	


	 


	En Delta, embarcarás en una aventura a través de la región del delta de la Camarga, con el objetivo de reunir información acerca de los cristales que abastecen de energía las MPV a la vez que observas a mecanimales tales como tortugas, flamencos, caballos o toros. 


	 


	Envía a tu equipo a diferentes secciones del tablero para tratar de optimizar tus acciones, añade nuevos miembros a tu equipo e incluso emprende misiones especiales. Gestiona bien tus cartas y reúne suficiente conocimiento para alzarte con la victoria en esta emocionante aventura steampunk.


	


	¿Qué contiene?


	
		1 tablero central
	
		4 tableros de jugador
	
		1 marcador de ronda
	
		14 losetas de Invento
	
		11 fichas de bonificación por orden de turno
	
		20 losetas de Libélula
	
		16 losetas de Artículo Científico
	
		25 Matraces
	
		25 Cristales
	
		24 cartas de Animal
	
		21 cartas de Personaje avanzado
	
		40 cartas de Personaje básico
	
		26 cartas de Misión
	
		12 cartas de Última Ronda
	
		4 marcadores de Ingeniería
	
		4 marcadores de PV
	
		4 marcadores de orden de turno
	
		4 fichas de PV adicionales
	
		64 marcadores de Exploración
	
		16 marcadores de Conocimiento
	
		12 marcadores para cartas
	
		1 reglamento
	
		Inserto y cajas magnéticas
	
		Tapete
	
		130 Fundas de cartas



	​​


	 


	Caja en Inglés con reglamento en Español
","E1","http://tablerumdrupal.com/sites/tablerumcom/files/delta-edicion-de-luxe-all-in-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/delta-edicion-de-luxe-all-in-1-comprar-barato.jpg","113.16200000000001","115.289","155","+12 años","Maldito Games","60-120 min","6","Si","1","Sí","2-4","1","Actuales","Juegos de Mesa"
"Trio","Trío","/trio","
	¿Quién averiguará qué números esconden las cartas?


	
		Revela 2 cartas de la mesa o de la mano de un jugador, ¡pero solo el número más bajo o el más alto!
	
		Si las 2 cartas son idénticas, ¡revela otra carta!
	
		¡Encuentra 3 cartas iguales y quédatelas!



	


	¡Un juego fácil e ingenioso al que no podrás dejar de jugar!
	
	¿Qué contiene?


	
		36 cartas
	
		un reglamento.

","A5","http://tablerumdrupal.com/sites/tablerumcom/files/trio-comprar-barato.jpg","8.535","10.661","","+7 años","asmodee","20min","5","No","4","Sí","3-6","6","Actuales","Juegos de Mesa"
"QuickStop","Quick Stop","/quick-stop","
	180 cartas de situación para animar las tardes en familia y con amigos. 


	 


	Reparte 5 cartas de letra a cada jugador y revela una carta de situación. Los 3 jugadores más rápidos en encontrar una palabra con sus letras ganan, luego se cambia la carta de situación.


	 
","G4","http://tablerumdrupal.com/sites/tablerumcom/files/quick-stop-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/quick-stop-1-comprar-barato.jpg","13.134","16.446","","+10 años","asmodee","30min","5","No","6","Sí","2-7","6","Actuales","Juegos de Mesa"
"ROLEsoterroristasManualInvocaciónEsoterror","Esoterroristas: Manual de Invocación del Esoterror","/esoterroristas-manual-de-invocacion-del-esoterror","
	La Ordo Veritatis tiene como misión última eliminar a las criaturas de la Oscuridad Exterior. Y van perdiendo. La amenaza cada vez es mayor. La membrana cada vez más estrecha. Erradicarlos ya no es una opción, ha llegado el momento de intentar contenerlos.


	 


	


	 


	En la decimosexta Conferencia Global se reunieron los Señores Verdad de todo el mundo y desarrollaron un documento que explicaba las nuevas formas que utilizan los esoterroristas para llegar al otro lado de la membrana y traer criaturas para utilizarlos en sus planes.


	 


	Hemos conseguido ese documento y lo desclasificamos solo para ti.
","Rol","http://tablerumdrupal.com/sites/tablerumcom/files/esoterroristas-manual-de-invocacion-del-esoterror-comprar-barato.jpg","24.2","31.923","","","edge","","","","2","Sí","","2","Rol","libros"
"AExplorarLaJungla","¡A Explorar! La Jungla","/a-explorar-la-jungla","
	Si queréis adentraros en pleno corazón de la jungla para descubrir sus plantas más exóticas, ¡tendréis que ir con mucho cuidado! Entre la vegetación, se esconden animales que es mejor que evitéis a toda costa. ¿Quién recolectará más plantas sin molestar a los animales?


	
	¿Qué contiene?


	
		4 mazos con 20 cartas de Jungla (se distinguen por el color de las mariquitas)
	
		4 cartas de Explorador
	
		6 cartas de Planta
	
		4 cartas de Animal (incluye 1 carta en blanco).

","A5","http://tablerumdrupal.com/sites/tablerumcom/files/a-explorar-la-jungla-comprar-barato.jpg","9.823","12.314","","+6 años","asmodee","20min","4","No","5","Sí","2-4","6","Infantiles, Actuales","Juegos de Mesa"
"MCPCardPack2023","Marvel Crisis Protocol Card Pack 2023","/marvel-crisis-protocol-card-pack-2023","
	Los jugadores pueden renovar sus partidas de Marvel: Crisis Protocol con este paquete de cartas. 


	 


	Con actualizaciones de 23 Cartas de Crisis incluidas 10 Cartas de Misión de Extracción y 13 Cartas de Misión de Seguridad actualizadas, este pack ofrece a los jugadores todo lo que necesitan para jugar cualquier escenario.


	 
","Por Asignar","http://tablerumdrupal.com/sites/tablerumcom/files/mcp-card-pack-2023-comprar-barato.jpg","14.149","16.446","","+14 años","Fantasy Flight","60min","6","No","0","Sí","2","2","Marvel Crisis, Actuales","Juegos de Mesa"
